timestamp,target,current,pwm
1771916048.140572,0,0,0
1771916048.1407132,0,0,0
1771916048.1408343,0,0,0
1771916048.1409535,0,0,0
1771916048.1410778,0,0,0
1771916048.4110954,0,0,0
1771916048.411335,0,0,0
1771916048.411484,0,0,0
1771916048.4116273,0,0,0
1771916048.4117553,0,0,0
1771916048.4118876,0,0,0
1771916048.4120665,0,0,0
1771916048.4122436,0,0,0
1771916048.4124136,0,0,0
1771916048.412588,0,0,0
1771916048.412753,0,0,0
1771916048.4129293,0,0,0
1771916048.4130967,0,0,0
1771916048.413269,0,0,0
1771916048.4134376,0,0,0
1771916048.4136088,0,0,0
1771916048.413802,0,0,0
1771916048.4139397,0,0,0
1771916048.4140596,0,0,0
1771916048.4143121,0,0,0
1771916048.4144652,0,0,0
1771916048.4145865,0,0,0
1771916048.414709,0,0,0
1771916048.4148307,0,0,0
1771916048.41496,0,0,0
1771916048.4150805,0,0,0
1771916048.4152007,0,0,0
1771916048.4153204,0,0,0
1771916048.415442,0,0,0
1771916048.415559,0,0,0
1771916048.4156802,0,0,0
1771916048.4157972,0,0,0
1771916048.415916,0,0,0
1771916048.4160352,0,0,0
1771916048.4161534,0,0,0
1771916048.4162717,0,0,0
1771916048.416393,0,0,0
1771916048.416512,0,0,0
1771916048.4166303,0,0,0
1771916048.4167492,0,0,0
1771916048.4168687,0,0,0
1771916048.4169946,0,0,0
1771916048.417114,0,0,0
1771916048.4172337,0,0,0
1771916048.4173555,0,0,0
1771916048.4174745,0,0,0
1771916048.4176028,0,0,0
1771916048.417721,0,0,0
1771916048.4178393,0,0,0
1771916048.4179564,0,0,0
1771916048.4180803,0,0,0
1771916048.4184134,0,0,0
1771916048.4186645,0,0,0
1771916048.4188864,0,0,0
1771916048.419104,0,0,0
1771916048.419317,0,0,0
1771916048.4195282,0,0,0
1771916048.4197085,0,0,0
1771916048.4198275,0,0,0
1771916048.4200516,0,0,0
1771916048.4201877,0,0,0
1771916048.4203074,0,0,0
1771916048.4204285,0,0,0
1771916048.4205534,0,0,0
1771916048.4206784,0,0,0
1771916048.4208188,0,0,0
1771916048.4209466,0,0,0
1771916048.42107,0,0,0
1771916048.4211912,0,0,0
1771916048.4213135,0,0,0
1771916048.4214344,0,0,0
1771916048.4215596,0,0,0
1771916048.421698,0,0,0
