timestamp,target,current,pwm
1771717883.9643877,0,0,0
1771717883.964536,0,0,0
1771717883.964662,0,0,0
1771717883.964784,0,0,0
1771717883.9649026,0,0,0
1771717883.9650207,0,0,0
1771717884.2194161,0,0,0
1771717884.219557,0,0,0
1771717884.2196944,0,0,0
1771717884.2198176,0,0,0
1771717884.2199383,0,0,0
1771717884.220059,0,0,0
1771717884.2201805,0,0,0
1771717884.220331,0,0,0
1771717884.2204506,0,0,0
1771717884.2205706,0,0,0
1771717884.2208004,0,0,0
1771717884.2210338,0,0,0
1771717884.2211645,0,0,0
1771717884.2212863,0,0,0
1771717884.2214053,0,0,0
1771717884.2215664,0,0,0
1771717884.2216852,0,0,0
1771717884.2218022,0,0,0
1771717884.2219195,0,0,0
1771717884.2220376,0,0,0
1771717884.222155,0,0,0
1771717884.2222733,0,0,0
1771717884.2224011,0,0,0
1771717884.2225688,0,0,0
1771717884.222685,0,0,0
1771717884.2228,0,0,0
1771717884.22292,0,0,0
1771717884.2230384,0,0,0
1771717884.2231534,0,0,0
1771717884.2232702,0,0,0
1771717884.2233846,0,0,0
1771717884.2235284,0,0,0
1771717884.2236428,0,0,0
1771717884.2237573,0,0,0
1771717884.2238717,0,0,0
1771717884.223986,0,0,0
1771717884.2241015,0,0,0
1771717884.2242153,0,0,0
1771717884.22433,0,0,0
1771717884.2244725,0,0,0
1771717884.2245867,0,0,0
1771717884.2247021,0,0,0
1771717884.224817,0,0,0
1771717884.2249327,0,0,0
1771717884.2250485,0,0,0
1771717884.2251625,0,0,0
1771717884.225278,0,0,0
1771717884.2253933,0,0,0
1771717884.2255297,0,0,0
1771717884.225645,0,0,0
1771717884.22576,0,0,0
1771717884.2258754,0,0,0
1771717884.2259896,0,0,0
1771717884.2261066,0,0,0
1771717884.226221,0,0,0
1771717884.226335,0,0,0
1771717884.2264802,0,0,0
1771717884.2265942,0,0,0
1771717884.2267098,0,0,0
1771717884.2268245,0,0,0
1771717884.2269385,0,0,0
1771717884.2270558,0,0,0
1771717884.2271702,0,0,0
1771717884.227285,0,0,0
1771717884.2274003,0,0,0
1771717884.2275581,0,0,0
1771717884.2278092,0,0,0
1771717884.2279546,0,0,0
1771717884.2280743,0,0,0
1771717884.228199,0,0,0
1771717884.2283146,0,0,0
1771717884.2284303,0,0,0
1771717884.2285938,0,0,0
1771717884.2287111,0,0,0
1771717884.228828,0,0,0
1771717884.2289448,0,0,0
1771717884.2290602,0,0,0
1771717884.229179,0,0,0
1771717884.2292938,0,0,0
1771717884.229412,0,0,0
1771717884.229562,0,0,0
1771717884.2296784,0,0,0
1771717884.2297935,0,0,0
1771717884.229909,0,0,0
1771717884.2300239,0,0,0
1771717884.2301397,0,0,0
1771717884.2302625,0,0,0
1771717884.230377,0,0,0
1771717884.2305148,0,0,0
1771717884.2306304,0,0,0
1771717884.2307463,0,0,0
1771717884.2308776,0,0,0
1771717884.2309935,0,0,0
1771717884.2311082,0,0,0
1771717884.231223,0,0,0
1771717884.2313392,0,0,0
1771717884.2314825,0,0,0
1771717884.231612,0,0,0
1771717884.2317274,0,0,0
1771717884.2318423,0,0,0
1771717884.2319648,0,0,0
1771717884.23215,0,0,0
1771717884.232384,0,0,0
1771717884.2326066,0,0,0
1771717884.2327912,0,0,0
1771717884.2329674,0,0,0
1771717884.2331018,0,0,0
1771717884.233219,0,0,0
1771717884.2333348,0,0,0
1771717884.2334974,0,0,0
1771717884.2336164,0,0,0
1771717884.2337308,0,0,0
1771717884.233846,0,0,0
1771717884.233962,0,0,0
1771717884.2340815,0,0,0
1771717884.234205,0,0,0
1771717884.234321,0,0,0
1771717884.234436,0,0,0
1771717884.2345755,0,0,0
1771717884.2346926,0,0,0
1771717884.234842,0,0,0
1771717884.2350333,0,0,0
1771717884.235237,0,0,0
1771717884.23536,0,0,0
1771717884.2355149,0,0,0
1771717884.2356331,0,0,0
1771717884.2357485,0,0,0
1771717884.2358646,0,0,0
1771717884.235982,0,0,0
1771717884.236099,0,0,0
1771717884.236223,0,0,0
1771717884.2363427,0,0,0
