time,pwmValue,position
0,0,0
1,0,0
2,0,0
3,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
12,0,0
13,0,0
14,0,0
15,0,0
17,0,0
18,0,0
19,0,0
20,0,0
22,0,0
23,0,0
24,0,0
25,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
33,0,0
34,0,0
35,0,0
36,0,0
38,0,0
39,0,0
40,0,0
41,0,0
44,0,0
45,0,0
46,0,0
47,0,0
49,0,0
50,0,0
51,0,0
52,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
60,0,0
61,0,0
62,0,0
63,0,0
65,0,0
66,0,0
67,0,0
68,0,0
70,0,0
71,0,0
72,0,0
73,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
81,0,0
82,0,0
83,0,0
84,0,0
87,0,0
88,0,0
89,0,0
90,0,0
92,0,0
93,0,0
94,0,0
95,0,0
97,0,0
98,0,0
99,0,0
100,0,0
102,0,0
103,0,0
104,0,0
105,0,0
107,0,0
108,0,0
109,0,0
111,0,0
112,0,0
113,0,0
114,0,0
116,0,0
117,0,0
118,0,0
120,0,0
121,0,0
122,0,0
123,0,0
125,0,0
126,0,0
128,0,0
130,0,0
131,0,0
132,0,0
133,0,0
135,0,0
136,0,0
137,0,0
139,0,0
140,0,0
141,0,0
142,0,0
144,0,0
145,0,0
146,0,0
148,0,0
149,0,0
150,0,0
151,0,0
153,0,0
154,0,0
155,0,0
156,0,0
158,0,0
159,0,0
160,0,0
162,0,0
163,0,0
164,0,0
165,0,0
167,0,0
168,0,0
169,0,0
172,0,0
173,0,0
174,0,0
175,0,0
177,0,0
178,0,0
179,0,0
181,0,0
182,0,0
183,0,0
184,0,0
186,0,0
187,0,0
188,0,0
190,0,0
191,0,0
192,0,0
193,0,0
195,0,0
196,0,0
197,0,0
199,0,0
200,0,0
201,0,0
202,0,0
204,0,0
205,0,0
206,0,0
208,0,0
209,0,0
210,0,0
211,0,0
214,0,0
215,0,0
216,0,0
218,0,0
219,0,0
220,0,0
221,0,0
223,0,0
224,0,0
225,0,0
227,0,0
228,0,0
229,0,0
230,0,0
232,0,0
233,0,0
234,0,0
236,0,0
237,0,0
238,0,0
239,0,0
241,0,0
242,0,0
243,0,0
245,0,0
246,0,0
247,0,0
248,0,0
250,0,0
251,0,0
252,0,0
254,0,0
256,0,0
257,0,0
258,0,0
260,0,0
261,0,0
262,0,0
263,0,0
265,0,0
266,0,0
267,0,0
269,0,0
270,0,0
271,0,0
272,0,0
274,0,0
275,0,0
276,0,0
278,0,0
279,0,0
280,0,0
281,0,0
283,0,0
284,0,0
285,0,0
287,0,0
288,0,0
289,0,0
290,0,0
292,0,0
293,0,0
294,0,0
296,0,0
297,0,0
299,0,0
300,0,0
302,0,0
303,0,0
304,0,0
306,0,0
307,0,0
308,0,0
309,0,0
311,0,0
312,0,0
313,0,0
315,0,0
316,0,0
317,0,0
318,0,0
320,0,0
321,0,0
322,0,0
324,0,0
325,0,0
326,0,0
327,0,0
329,0,0
330,0,0
331,0,0
333,0,0
334,0,0
335,0,0
336,0,0
338,0,0
339,0,0
340,0,0
343,0,0
344,0,0
345,0,0
346,0,0
348,0,0
349,0,0
350,0,0
352,0,0
353,0,0
354,0,0
355,0,0
357,0,0
358,0,0
359,0,0
361,0,0
362,0,0
363,0,0
364,0,0
366,0,0
367,0,0
368,0,0
370,0,0
371,0,0
372,0,0
373,0,0
375,0,0
376,0,0
377,0,0
379,0,0
380,0,0
381,0,0
382,0,0
385,0,0
386,0,0
387,0,0
389,0,0
390,0,0
391,0,0
392,0,0
394,0,0
395,0,0
396,0,0
398,0,0
399,0,0
400,0,0
401,0,0
403,0,0
404,0,0
405,0,0
406,0,0
408,0,0
409,0,0
410,0,0
412,0,0
413,0,0
414,0,0
415,0,0
417,0,0
418,0,0
419,0,0
421,0,0
422,0,0
423,0,0
424,0,0
427,0,0
428,0,0
429,0,0
431,0,0
432,0,0
433,0,0
434,0,0
436,0,0
437,0,0
438,0,0
440,0,0
441,0,0
442,0,0
443,0,0
445,0,0
446,0,0
447,0,0
449,0,0
450,0,0
451,0,0
452,0,0
454,0,0
455,0,0
456,0,0
458,0,0
459,0,0
460,0,0
461,0,0
463,0,0
464,0,0
465,0,0
467,0,0
468,0,0
470,0,0
471,0,0
473,0,0
474,0,0
475,0,0
477,0,0
478,0,0
479,0,0
480,0,0
482,0,0
483,0,0
484,0,0
486,0,0
487,0,0
488,0,0
489,0,0
491,0,0
492,0,0
493,0,0
495,0,0
496,0,0
497,0,0
498,0,0
500,0,0
501,255,0
502,255,0
504,255,0
505,255,0
507,255,0
508,255,0
509,255,1
512,255,1
513,255,2
515,255,2
516,255,3
517,255,3
519,255,4
520,255,5
522,255,5
523,255,6
524,255,7
526,255,8
527,255,8
529,255,9
530,255,10
531,255,11
533,255,12
534,255,13
536,255,14
537,255,15
539,255,16
540,255,17
542,255,18
543,255,20
544,255,21
546,255,22
547,255,23
549,255,24
550,255,25
552,255,27
553,255,28
556,255,29
557,255,30
558,255,32
560,255,33
561,255,34
563,255,35
564,255,37
566,255,38
567,255,39
569,255,41
570,255,42
571,255,43
573,255,45
574,255,46
576,255,47
577,255,49
579,255,50
580,255,51
582,255,53
583,255,54
584,255,55
586,255,57
587,255,58
589,255,59
590,255,61
592,255,62
593,255,63
595,255,65
596,255,66
598,255,67
600,255,69
601,255,70
603,255,72
604,255,73
606,255,74
607,255,75
609,255,77
610,255,78
612,255,79
613,255,81
614,255,82
616,255,83
617,255,85
619,255,86
620,255,87
622,255,89
623,255,90
625,255,91
626,255,93
627,255,94
629,255,95
630,255,96
632,255,98
633,255,99
635,255,100
636,255,102
638,255,103
640,255,104
642,255,106
643,255,107
645,255,108
646,255,109
648,255,111
649,255,112
651,0,113
652,0,114
653,0,116
655,0,117
656,0,118
658,0,119
659,0,120
660,0,121
662,0,122
663,0,123
665,0,124
666,0,125
667,0,126
669,0,127
670,0,128
672,0,129
673,0,130
674,0,131
676,0,132
677,0,133
679,0,134
680,0,135
681,0,135
684,0,136
685,0,137
687,0,138
688,0,138
690,0,139
691,0,140
692,0,140
694,0,141
695,0,142
697,0,142
698,0,143
699,0,143
701,0,144
702,0,144
703,0,145
705,0,145
706,0,146
708,0,146
709,0,147
710,0,147
712,0,148
713,0,148
715,0,148
716,0,149
718,0,149
719,0,149
720,0,149
722,0,150
723,0,150
726,0,150
727,0,150
728,0,150
730,0,151
731,0,151
733,0,151
734,0,151
735,0,151
737,0,151
738,0,151
740,0,151
741,0,151
742,0,151
744,0,151
745,0,151
746,0,150
748,0,150
749,0,150
751,0,150
752,0,150
754,0,150
755,0,150
756,0,150
758,0,150
759,0,150
761,0,150
762,0,150
763,0,150
765,0,150
766,0,150
769,0,149
770,0,149
771,0,149
