timestamp,target,current,pwm
1771717598.2388027,0,0,0
1771717598.2389436,0,0,0
1771717598.474277,0,0,0
1771717598.4744422,0,0,0
1771717598.4745946,0,0,0
1771717598.4747164,0,0,0
1771717598.474836,0,0,0
1771717598.4749558,0,0,0
1771717598.4750748,0,0,0
1771717598.4751933,0,0,0
1771717598.4753125,0,0,0
1771717598.4754376,0,0,0
1771717598.4755569,0,0,0
1771717598.4756753,0,0,0
1771717598.475796,0,0,0
1771717598.4759169,0,0,0
1771717598.4760365,0,0,0
1771717598.4761565,0,0,0
1771717598.4763184,0,0,0
1771717598.4764423,0,0,0
1771717598.4765606,0,0,0
1771717598.4766788,0,0,0
1771717598.4767985,0,0,0
1771717598.4769187,0,0,0
1771717598.4770367,0,0,0
1771717598.4771545,0,0,0
1771717598.4772716,0,0,0
1771717598.4773924,0,0,0
1771717598.477509,0,0,0
1771717598.4776266,0,0,0
1771717598.4777448,0,0,0
1771717598.4778626,0,0,0
1771717598.477979,0,0,0
1771717598.4780974,0,0,0
1771717598.478214,0,0,0
1771717598.478333,0,0,0
1771717598.4784534,0,0,0
1771717598.4785707,0,0,0
1771717598.478687,0,0,0
1771717598.478804,0,0,0
1771717598.478922,0,0,0
1771717598.4790382,0,0,0
1771717598.4791553,0,0,0
1771717598.4792726,0,0,0
1771717598.4794512,0,0,0
1771717598.4796526,0,0,0
1771717598.479862,0,0,0
1771717598.4800441,0,0,0
1771717598.4801903,0,0,0
1771717598.4803119,0,0,0
1771717598.4804838,0,0,0
1771717598.4806056,0,0,0
1771717598.4807265,0,0,0
1771717598.480845,0,0,0
1771717598.4809628,0,0,0
1771717598.48108,0,0,0
1771717598.4811976,0,0,0
1771717598.4813156,0,0,0
1771717598.4814377,0,0,0
1771717598.4815557,0,0,0
1771717598.4816728,0,0,0
1771717598.4817896,0,0,0
1771717598.4819062,0,0,0
1771717598.482023,0,0,0
1771717598.4821393,0,0,0
1771717598.482256,0,0,0
1771717598.4823768,0,0,0
1771717598.4825048,0,0,0
1771717598.4826238,0,0,0
1771717598.4827402,0,0,0
1771717598.4828603,0,0,0
1771717598.4829783,0,0,0
1771717598.4830954,0,0,0
1771717598.483212,0,0,0
1771717598.4833293,0,0,0
1771717598.4835289,0,0,0
1771717598.4836457,0,0,0
1771717598.483761,0,0,0
1771717598.483877,0,0,0
1771717598.4839954,0,0,0
1771717598.4841113,0,0,0
1771717598.4842277,0,0,0
1771717598.4843435,0,0,0
1771717598.4844997,0,0,0
1771717598.4846168,0,0,0
