timestamp,target,current,pwm
1771625883.608982,0,0,0
1771625883.6108947,0,0,0
1771625883.6110349,0,0,0
1771625883.6111689,0,0,0
1771625883.611396,0,0,0
1771625883.614997,0,0,0
1771625883.615139,0,0,0
1771625883.6152723,0,0,0
1771625883.615401,0,0,0
1771625883.6190467,0,0,0
1771625883.619184,0,0,0
1771625883.6192784,0,0,0
1771625883.6194255,0,0,0
1771625883.6195621,0,0,0
1771625883.7984817,0,0,0
1771625883.7985835,0,0,0
1771625883.7986732,0,0,0
1771625883.798763,0,0,0
1771625883.798851,0,0,0
1771625883.7989376,0,0,0
1771625883.7990236,0,0,0
1771625883.7991104,0,0,0
1771625883.7991984,0,0,0
1771625883.7993076,0,0,0
1771625883.7994156,0,0,0
1771625883.7995203,0,0,0
1771625883.7996173,0,0,0
1771625883.7997084,0,0,0
1771625883.7997992,0,0,0
1771625883.7998872,0,0,0
1771625883.7999885,0,0,0
1771625883.8000832,0,0,0
1771625883.8001692,0,0,0
1771625883.800257,0,0,0
1771625883.8003538,0,0,0
1771625883.8004413,0,0,0
1771625883.8005543,0,0,0
1771625883.800643,0,0,0
1771625883.800729,0,0,0
1771625883.8008156,0,0,0
1771625883.8009033,0,0,0
1771625883.8009892,0,0,0
1771625883.8010755,0,0,0
1771625883.801161,0,0,0
1771625883.8012483,0,0,0
1771625883.801334,0,0,0
1771625883.8014205,0,0,0
1771625883.8015063,0,0,0
1771625883.8015924,0,0,0
1771625883.8016782,0,0,0
1771625883.8017628,0,0,0
1771625883.8018484,0,0,0
1771625883.8019338,0,0,0
1771625883.8020191,0,0,0
1771625883.8021038,0,0,0
1771625883.8021894,0,0,0
1771625883.8022761,0,0,0
1771625883.8023674,0,0,0
1771625883.8024545,0,0,0
1771625883.8025413,0,0,0
1771625883.8026276,0,0,0
1771625883.802714,0,0,0
1771625883.8028038,0,0,0
1771625883.8028905,0,0,0
1771625883.8029773,0,0,0
1771625883.8030763,0,0,0
1771625883.8031628,0,0,0
1771625883.8032618,0,0,0
1771625883.8033493,0,0,0
1771625883.803436,0,0,0
1771625883.8035228,0,0,0
1771625883.8036103,0,0,0
1771625883.8036978,0,0,0
1771625883.8037846,0,0,0
1771625883.8038723,0,0,0
1771625883.8039596,0,0,0
1771625883.8040466,0,0,0
1771625883.8041334,0,0,0
1771625883.8042219,0,0,0
1771625883.8043242,0,0,0
1771625883.8044221,0,0,0
1771625883.8045475,0,0,0
1771625883.8046336,0,0,0
1771625883.8047187,0,0,0
1771625883.8048053,0,0,0
1771625883.8048909,0,0,0
1771625883.8049772,0,0,0
1771625883.8050632,0,0,0
1771625883.805149,0,0,0
1771625883.8052356,0,0,0
1771625883.8053217,0,0,0
1771625883.8054104,0,0,0
1771625883.8054957,0,0,0
1771625883.805584,0,0,0
1771625883.8056698,0,0,0
1771625883.8057559,0,0,0
1771625883.805842,0,0,0
1771625883.8059278,0,0,0
1771625883.8060136,0,0,0
1771625883.8060992,0,0,0
1771625883.8061862,0,0,0
1771625883.8062725,0,0,0
1771625883.8063643,0,0,0
1771625883.806461,0,0,0
1771625883.806549,0,0,0
1771625883.8066425,0,0,0
1771625883.8067286,0,0,0
1771625883.8068168,0,0,0
1771625883.8069022,0,0,0
1771625883.8069882,0,0,0
1771625883.807074,0,0,0
1771625883.8071682,0,0,0
1771625883.8072538,0,0,0
1771625883.8073397,0,0,0
1771625883.807426,0,0,0
1771625883.8076255,0,0,0
1771625883.8077683,0,0,0
1771625883.8079014,0,0,0
1771625883.808021,0,0,0
1771625883.8081334,0,0,0
1771625883.8082244,0,0,0
1771625883.808314,0,0,0
1771625883.8084037,0,0,0
1771625883.8084946,0,0,0
1771625883.8085847,0,0,0
1771625883.8086734,0,0,0
1771625883.8087626,0,0,0
1771625883.8088524,0,0,0
1771625883.808942,0,0,0
1771625883.8090315,0,0,0
1771625883.8091218,0,0,0
1771625883.8092275,0,0,0
1771625883.8093157,0,0,0
1771625883.8094137,0,0,0
1771625883.8095016,0,0,0
1771625883.8095915,0,0,0
1771625883.8096807,0,0,0
1771625883.8097706,0,0,0
1771625883.8098598,0,0,0
1771625883.8099482,0,0,0
1771625883.8100352,0,0,0
1771625883.8101237,0,0,0
1771625883.810212,0,0,0
1771625883.8103023,0,0,0
1771625883.8103898,0,0,0
1771625883.810477,0,0,0
1771625883.810564,0,0,0
1771625883.810651,0,0,0
1771625883.810739,0,0,0
1771625883.810825,0,0,0
1771625883.810913,0,0,0
1771625883.8110003,0,0,0
1771625883.8110867,0,0,0
1771625883.8111746,0,0,0
1771625883.8112657,0,0,0
1771625883.8113527,0,0,0
1771625883.8114471,0,0,0
1771625883.8115463,0,0,0
1771625883.8116474,0,0,0
1771625883.8117325,0,0,0
1771625883.8118174,0,0,0
1771625883.8119032,0,0,0
1771625883.811988,0,0,0
1771625883.8120747,0,0,0
1771625883.8121595,0,0,0
1771625883.812244,0,0,0
1771625883.81233,0,0,0
1771625883.8124146,0,0,0
1771625883.8124993,0,0,0
1771625883.8125837,0,0,0
1771625883.8126683,0,0,0
1771625883.8127546,0,0,0
1771625883.81284,0,0,0
1771625883.8129256,0,0,0
1771625883.813011,0,0,0
1771625883.813095,0,0,0
1771625883.8131795,0,0,0
1771625883.8132687,0,0,0
1771625883.8133533,0,0,0
1771625883.8134387,0,0,0
1771625883.8135233,0,0,0
1771625883.8136077,0,0,0
1771625883.8136923,0,0,0
1771625883.813777,0,0,0
1771625883.813861,0,0,0
1771625883.8139594,0,0,0
1771625883.8140433,0,0,0
1771625883.8141289,0,0,0
1771625883.814213,0,0,0
1771625883.8142967,0,0,0
1771625883.814381,0,0,0
1771625883.8144646,0,0,0
1771625883.8145485,0,0,0
1771625883.8146334,0,0,0
1771625883.8147178,0,0,0
1771625883.814804,0,0,0
1771625883.8148882,0,0,0
1771625883.8149729,0,0,0
1771625883.815057,0,0,0
1771625883.8151443,0,0,0
1771625883.815233,0,0,0
1771625883.8153172,0,0,0
1771625883.8154016,0,0,0
1771625883.815487,0,0,0
1771625883.8155713,0,0,0
